Question,Ground Truth,LLM Generated Response,BLEU,ROUGE,Exact Match,String Presence
"What is the capital of France, known for its iconic Eiffel Tower?","The capital of France is Paris, famous for the Eiffel Tower.",Paris is the capital of France.,0.12821896752346174,0.4705882352941177,0.0,0.0
Who wrote the classic novel 'Pride and Prejudice' that explores themes of love and social standing?,"'Pride and Prejudice' was written by Jane Austen, exploring themes of love and social standing.",'Pride and Prejudice' was written by Jane Austen.,0.36553626071143563,0.6956521739130436,0.0,0.0
At what temperature does water boil under standard atmospheric conditions?,Water boils at 100 degrees Celsius under standard atmospheric conditions.,Water boils at 212 degrees Fahrenheit.,0.1568571804540145,0.5,0.0,0.0
"Which planet is the largest in our solar system, known for its Great Red Spot?","Jupiter is the largest planet in our solar system, known for its Great Red Spot.",The largest planet in our solar system is Saturn.,0.27586495836430935,0.5833333333333334,0.0,0.0
Who painted the famous portrait 'Mona Lisa' that is displayed in the Louvre Museum?,The 'Mona Lisa' was painted by Leonardo da Vinci and is displayed in the Louvre Museum.,The Mona Lisa was painted by Leonardo da Vinci.,0.27586495836430935,0.72,0.0,0.0
"What is the chemical formula for water, a compound essential for all known forms of life?","The chemical formula for water, essential for all known forms of life, is H₂O.",The chemical formula for water is H₂O.,0.22447821150214156,0.6956521739130436,0.0,0.0
"What is the name of the tallest mountain in the world, located in the Himalayas?","Mount Everest, located in the Himalayas, is the tallest mountain in the world.",Mount Everest is the tallest mountain in the world.,0.45589884000057873,0.8181818181818181,0.0,0.0
"Who discovered penicillin, the first true antibiotic, in 1928?","Penicillin, the first true antibiotic, was discovered by Alexander Fleming in 1928.",Penicillin was discovered by Alexander Fleming.,0.21326566840381275,0.6666666666666666,0.0,0.0
"What is the speed of light in a vacuum, a fundamental constant of nature?","The speed of light in a vacuum is 299,792,458 meters per second, a fundamental constant of nature.","The speed of light is 300,000,000 meters per second.",0.16447912020847,0.5333333333333333,0.0,0.0
"Who is the author of the dystopian novel '1984', which explores themes of totalitarianism and surveillance?","'1984', a dystopian novel exploring themes of totalitarianism and surveillance, was written by George Orwell.",'1984' was written by George Orwell.,0.17469470584451174,0.5714285714285715,0.0,0.0
"What is the smallest prime number, which is also the only even prime number?","The smallest prime number, and the only even prime number, is 2.",The smallest prime number is 1.,0.1451006149190752,0.5555555555555556,0.0,0.0
"What is the capital of Japan, a city known for its blend of modernity and tradition?","Tokyo, known for its blend of modernity and tradition, is the capital of Japan.",Tokyo is the capital of Japan.,0.2015216974557266,0.6,0.0,0.0
"Who developed the theory of relativity, fundamentally changing our understanding of space and time?","The theory of relativity, which fundamentally changed our understanding of space and time, was developed by Albert Einstein.",The theory of relativity was developed by Albert Einstein.,0.26151327707547317,0.6666666666666666,0.0,0.0
"What is the hardest natural substance on Earth, often used in cutting tools and jewelry?","Diamond, the hardest natural substance on Earth, is often used in cutting tools and jewelry.",Diamond is the hardest natural substance on Earth.,0.23914346158980834,0.608695652173913,0.0,0.0
Who is known as the father of computers for his conceptual design of the Analytical Engine?,Charles Babbage is known as the father of computers for his conceptual design of the Analytical Engine.,Charles Babbage is known as the father of computers.,0.4060145522562573,0.6923076923076924,0.0,0.0
"What is the chemical symbol for gold, a precious metal used in jewelry and electronics?","The chemical symbol for gold, used in jewelry and electronics, is Au.",The chemical symbol for gold is Au.,0.28823572906135625,0.7368421052631579,0.0,0.0
"What is the largest ocean on Earth, covering more than 63 million square miles?","The Pacific Ocean, covering more than 63 million square miles, is the largest ocean on Earth.",The largest ocean on Earth is the Atlantic Ocean.,0.14055958177712688,0.39999999999999997,0.0,0.0
"Who wrote 'To Kill a Mockingbird', a novel that addresses racial injustice in the American South?","'To Kill a Mockingbird', addressing racial injustice in the American South, was written by Harper Lee.",'To Kill a Mockingbird' was written by Harper Lee.,0.3194130379154877,0.72,0.0,0.0
"What is the main ingredient in guacamole, a popular Mexican dip?","The main ingredient in guacamole, a popular Mexican dip, is avocado.",The main ingredient in guacamole is avocado.,0.3266138705044647,0.7777777777777778,0.0,0.0
"Who was the first president of the United States, serving from 1789 to 1797?","George Washington was the first president of the United States, serving from 1789 to 1797.",George Washington was the first president of the United States.,0.5301351624601454,0.8,0.0,0.0
"What is the capital of Italy, a city known for its ancient history and landmarks like the Colosseum?","Rome, known for its ancient history and landmarks like the Colosseum, is the capital of Italy.",Rome is the capital of Italy.,0.15143897969996611,0.5454545454545454,0.0,0.0
"Who invented the telephone, revolutionizing communication in the 19th century?","The telephone, which revolutionized communication in the 19th century, was invented by Alexander Graham Bell.",The telephone was invented by Alexander Graham Bell.,0.29556479778261413,0.6956521739130436,0.0,0.0
"What is the largest mammal in the world, known for its immense size and oceanic habitat?","The blue whale, known for its immense size and oceanic habitat, is the largest mammal in the world.",The largest mammal in the world is the blue whale.,0.19051507046738453,0.42857142857142855,0.0,0.0
"Who wrote 'The Odyssey', an epic poem that is a cornerstone of ancient Greek literature?","'The Odyssey', a cornerstone of ancient Greek literature, was written by Homer.",'The Odyssey' was written by Homer.,0.22550098924863604,0.6666666666666666,0.0,0.0
"What is the chemical formula for table salt, a common seasoning used in cooking?","The chemical formula for table salt, a common seasoning used in cooking, is NaCl.",The chemical formula for table salt is NaCl.,0.30737813127749364,0.7272727272727273,0.0,0.0
"What is the capital of Canada, a city known for its political significance and cultural heritage?","Ottawa, known for its political significance and cultural heritage, is the capital of Canada.",Ottawa is the capital of Canada.,0.2015216974557266,0.6,0.0,0.0
"Who discovered gravity, famously inspired by a falling apple?","Gravity was discovered by Isaac Newton, famously inspired by a falling apple.",Gravity was discovered by Isaac Newton.,0.3093485033266056,0.6666666666666666,0.0,0.0
"What is the largest desert in the world, located in North Africa?","The Sahara Desert, located in North Africa, is the largest desert in the world.",The largest desert in the world is the Sahara Desert.,0.27406564696061847,0.5,0.0,0.0
"Who wrote 'The Great Gatsby', a novel that explores themes of wealth and the American Dream?","'The Great Gatsby', exploring themes of wealth and the American Dream, was written by F. Scott Fitzgerald.",'The Great Gatsby' was written by F. Scott Fitzgerald.,0.5946035575013604,0.6923076923076924,0.0,0.0
"What is the primary gas in Earth's atmosphere, making up about 78% of the air we breathe?","Nitrogen, making up about 78% of the air we breathe, is the primary gas in Earth's atmosphere.",The primary gas in Earth's atmosphere is nitrogen.,0.1279742416007842,0.5185185185185185,0.0,0.0
"Who painted the Sistine Chapel ceiling, a masterpiece of Renaissance art?","The Sistine Chapel ceiling, a masterpiece of Renaissance art, was painted by Michelangelo.",The Sistine Chapel ceiling was painted by Michelangelo.,0.343500923016839,0.761904761904762,0.0,0.0
"What is the capital of Australia, a city known for its planned layout and national institutions?","Canberra, known for its planned layout and national institutions, is the capital of Australia.",Canberra is the capital of Australia.,0.2015216974557266,0.6,0.0,0.0
"Who discovered electricity, famously conducting experiments with a kite and key?","Electricity was discovered by Benjamin Franklin, famously conducting experiments with a kite and key.",Electricity was discovered by Benjamin Franklin.,0.23246837589676872,0.6,0.0,0.0
"What is the smallest country in the world, both in area and population?","Vatican City, the smallest country in the world both in area and population, is an independent city-state enclaved within Rome.",The smallest country in the world is Vatican City.,0.13111442673563709,0.5333333333333333,0.0,0.0
"Who wrote 'Moby-Dick', a novel about the obsessive quest of Captain Ahab?","'Moby-Dick', a novel about the obsessive quest of Captain Ahab, was written by Herman Melville.",'Moby-Dick' was written by Herman Melville.,0.17469470584451174,0.6086956521739131,0.0,0.0
"What is the chemical symbol for iron, a metal used extensively in construction and manufacturing?","The chemical symbol for iron, used extensively in construction and manufacturing, is Fe.",The chemical symbol for iron is Fe.,0.2543671381108596,0.7000000000000001,0.0,0.0
"What is the capital of Russia, a city known for its historical and political significance?","Moscow, known for its historical and political significance, is the capital of Russia.",Moscow is the capital of Russia.,0.23246837589676872,0.631578947368421,0.0,0.0
"Who developed the polio vaccine, significantly reducing the incidence of the disease?","The polio vaccine, which significantly reduced the incidence of the disease, was developed by Jonas Salk.",The polio vaccine was developed by Jonas Salk.,0.2461291665525619,0.6666666666666666,0.0,0.0
"What is the largest continent on Earth, home to the majority of the world's population?","Asia, home to the majority of the world's population, is the largest continent on Earth.",The largest continent on Earth is Asia.,0.11392443929712961,0.43478260869565216,0.0,0.0
"Who wrote 'Hamlet', one of the most famous plays in English literature?","'Hamlet', one of the most famous plays in English literature, was written by William Shakespeare.",'Hamlet' was written by William Shakespeare.,0.17469470584451174,0.5714285714285715,0.0,0.0
"What is the chemical formula for carbon dioxide, a gas produced by respiration and combustion?","The chemical formula for carbon dioxide, a gas produced by respiration and combustion, is CO₂.",The chemical formula for carbon dioxide is CO₂.,0.27505403699603004,0.6956521739130436,0.0,0.0
"What is the capital of Germany, a city known for its historical and cultural significance?","Berlin, known for its historical and cultural significance, is the capital of Germany.",Berlin is the capital of Germany.,0.23246837589676872,0.631578947368421,0.0,0.0
"Who discovered the structure of DNA, revealing the double helix model?","The structure of DNA, revealing the double helix model, was discovered by James Watson and Francis Crick.",The structure of DNA was discovered by James Watson and Francis,0.35884976446102845,0.7857142857142858,0.0,0.0
